3_10_5,110_13_3
3_10_6,104_6_15
3_10_7,102_9_12
3_10_8,106_3_12
3_10_9,101_4_19
3_10_10,105_3_18
3_10_11,105_14_18
3_10_12,107_8_5
3_10_13,110_6_7
3_10_14,106_15_11
3_10_15,104_17_1
3_10_16,108_9_7
3_10_17,107_5_15
3_10_18,101_6_18
3_10_19,106_6_19
3_10_20,109_4_8
3_11_1,107_16_7
3_11_2,107_20_17
3_11_3,110_2_1
3_11_4,107_10_7
3_11_5,102_15_13
3_11_6,107_18_8
3_11_7,105_2_2
3_11_8,108_15_6
3_11_9,109_11_11
3_11_10,103_9_6
3_11_11,107_10_2
3_11_12,105_16_8
3_11_13,108_7_6
3_11_14,105_20_11
3_11_15,106_1_7
3_11_16,109_14_9
3_11_17,106_14_3
3_11_18,105_6_17
3_11_19,110_11_18
3_11_20,104_16_20
3_12_1,103_9_6
3_12_2,106_2_5
3_12_3,106_18_9
3_12_4,109_7_15
3_12_5,101_16_6
3_12_6,101_9_2
3_12_7,102_10_7
3_12_8,103_4_2
3_12_9,109_20_2
3_12_10,101_17_9
3_12_11,104_16_9
3_12_12,108_11_12
3_12_13,101_4_10
3_12_14,107_16_12
3_12_15,104_11_9
3_12_16,108_10_5
3_12_17,101_2_4
3_12_18,101_18_14
3_12_19,102_7_14
3_12_20,105_3_2
3_13_1,101_18_14
3_13_2,102_3_1
3_13_3,107_19_1
3_13_4,102_3_6
3_13_5,102_18_10
3_13_6,108_20_10
3_13_7,101_7_14
3_13_8,108_12_2
3_13_9,106_13_13
3_13_10,102_19_15
3_13_11,103_2_14
3_13_12,103_15_6
3_13_13,109_13_6
3_13_14,109_7_20
3_13_15,104_19_7
3_13_16,101_3_1
3_13_17,103_19_3
3_13_18,109_5_18
3_13_19,109_19_10
3_13_20,103_20_9
3_14_1,105_17_19
3_14_2,101_3_5
3_14_3,101_4_7
3_14_4,106_5_18
3_14_5,109_19_4
3_14_6,101_10_5
3_14_7,107_5_8
3_14_8,103_4_13
3_14_9,107_1_10
3_14_10,101_4_17
3_14_11,106_2_13
3_14_12,105_7_15
3_14_13,101_12_1
3_14_14,101_4_10
3_14_15,101_4_10
3_14_16,106_18_9
3_14_17,109_7_18
3_14_18,106_9_16
3_14_19,104_19_7
3_14_20,103_4_20
3_15_1,106_4_10
3_15_2,107_10_9
3_15_3,106_5_7
3_15_4,105_1_16
3_15_5,102_5_3
3_15_6,104_15_6
3_15_7,106_16_12
3_15_8,110_2_5
3_15_9,103_9_2
3_15_10,104_11_4
3_15_11,110_9_17
3_15_12,109_15_6
3_15_13,106_20_13
3_15_14,108_6_6
3_15_15,102_6_16
3_15_16,107_1_1
3_15_17,101_20_2
3_15_18,101_17_10
3_15_19,102_10_7
3_15_20,105_2_16
3_16_1,106_19_17
3_16_2,110_14_10
3_16_3,110_16_7
3_16_4,109_1_9
3_16_5,109_14_17
3_16_6,110_14_5
3_16_7,110_19_17
3_16_8,109_6_8
3_16_9,109_20_15
3_16_10,109_20_15
3_16_11,104_12_18
3_16_12,105_20_8
3_16_13,103_19_4
3_16_14,110_16_13
3_16_15,103_18_8
3_16_16,104_19_7
3_16_17,103_1_2
3_16_18,108_3_1
3_16_19,107_18_10
3_16_20,109_7_20
3_17_1,106_18_18
3_17_2,106_16_14
3_17_3,110_20_19
3_17_4,108_7_14
3_17_5,101_18_14
3_17_6,101_15_9
3_17_7,103_14_7
3_17_8,108_19_5
3_17_9,106_12_9
3_17_10,106_12_10
3_17_11,110_7_1
3_17_12,104_5_1
3_17_13,102_2_3
3_17_14,110_9_11
3_17_15,105_3_15
3_17_16,110_2_16
3_17_17,110_2_14
3_17_18,107_16_9
3_17_19,102_9_19
3_17_20,102_18_20
3_18_1,103_19_14
3_18_2,102_15_9
3_18_3,102_18_3
3_18_4,108_9_16
3_18_5,103_13_2
3_18_6,110_14_5
3_18_7,105_9_14
3_18_8,101_5_19
3_18_9,106_13_17
3_18_10,104_19_5
3_18_11,102_9_7
3_18_12,109_5_10
3_18_13,107_4_4
3_18_14,108_19_1
3_18_15,110_4_1
3_18_16,105_3_4
3_18_17,107_5_3
3_18_18,101_3_17
3_18_19,108_20_2
3_18_20,110_9_20
3_19_1,101_12_2
3_19_2,106_1_1
3_19_3,109_18_15
3_19_4,107_20_2
3_19_5,101_7_5
3_19_6,105_9_6
